cod_cliente,data_cadastro,data_primeira_compra,uf,cidade
38064,20080411,20080414,0,0
38992,20080529,20101011,0,2
39632,20080613,20080616,0,24
39664,20080613,20080618,0,8
40032,20080620,20080623,0,19
40368,20080709,20080709,0,0
40544,20080718,20080723,0,19
40560,20080721,20151022,0,0
40640,20080724,20080724,0,0
40752,20080730,20080731,0,0
40880,20080804,20080804,0,5
41184,20080828,20080828,0,0
41200,20080828,20080828,0,0
41216,20080828,20080828,0,0
41440,20080922,20080924,0,3
41616,20081006,20081007,0,0
41648,20081007,20081008,0,3
41760,20081027,20081028,0,0
41792,20081029,20081030,0,19
41808,20081029,20081030,0,18
41872,20081106,20081110,0,10
41936,20081118,20081118,0,0
42000,20081121,20081124,0,19
42032,20081121,20081124,0,18
42096,20081121,20081124,0,10
42256,20081202,20081203,0,3
42304,20081205,20081208,0,5
42448,20081210,20081211,0,19
42720,20090112,20090121,0,3
42896,20090121,20090128,0,15
43088,20090128,20090129,0,20
43120,20090130,20090130,0,0
43152,20090204,20090206,0,6
43392,20090219,20090220,0,0
43520,20090305,20090311,0,3
43584,20090312,20090316,0,18
43600,20090312,20090316,0,18
43824,20090319,20090323,0,15
43856,20090319,20090917,0,17
43968,20090403,20090403,0,0
44000,20090409,20090413,0,18
44016,20090409,20090413,0,18
44032,20090409,20090413,0,18
44064,20090409,20090413,0,18
44528,20090529,20090529,0,0
44624,20090603,20090604,0,19
44656,20090603,20090604,0,19
45216,20090710,20090715,0,3
45232,20090710,20090715,0,3
45328,20090714,20090714,0,0
45344,20090714,20091127,0,14
45392,20090715,20090715,0,0
45488,20090723,20090723,0,0
45584,20090731,20090731,0,0
45664,20090805,20090806,0,18
45936,20090901,20090902,0,17
46000,20090903,20090903,0,19
46176,20090916,20090917,0,15
46208,20090916,20090917,0,15
46304,20090921,20090921,0,0
46400,20090924,20091208,0,10
46448,20090930,20090930,0,14
46656,20091007,20091007,0,17
46704,20091007,20091007,0,15
46784,20091008,20091009,0,0
46832,20091014,20091014,0,14
46864,20091014,20091015,0,9
46928,20091021,20091021,0,15
47296,20091117,20091118,0,14
47360,20091118,20091119,0,0
47504,20091126,20091127,0,15
47520,20091126,20091127,0,15
47600,20091127,20091127,0,15
47984,20091216,20091218,0,0
48000,20091217,20091217,0,11
48128,20100112,20100427,0,0
48288,20100120,20100120,0,9
48352,20100121,20100122,0,15
48480,20100128,20100128,0,19
48992,20100225,20100225,0,19
49072,20100225,20100225,0,25
49088,20100225,20100225,0,25
49152,20100225,20100625,0,25
49200,20100301,20100304,0,0
49344,20100308,20100326,0,2
49472,20100309,20100312,0,19
49520,20100310,20100312,0,0
49568,20100310,20100818,0,6
49648,20100311,20100312,0,19
49664,20100311,20100312,0,19
49760,20100311,20100312,0,19
49936,20100318,20100527,0,25
49952,20100318,20100323,0,25
49968,20100318,20100323,0,25
50064,20100325,20100329,0,15
50144,20100330,20151022,0,0
50208,20100401,20100405,0,26
50224,20100401,20100405,0,26
50320,20100408,20100409,0,2
50416,20100412,20100413,0,0
50576,20100415,20100415,0,27
50608,20100419,20100426,0,0
50832,20100505,20100505,0,0
51104,20100520,20100521,0,28
51136,20100520,20100521,0,26
51264,20100521,20100521,0,2
51376,20100527,20100527,0,25
51632,20100601,20100601,0,0
51984,20100630,20100630,0,29
52160,20100707,20100709,0,18
52208,20100708,20100708,0,11
52432,20100729,20100729,0,25
52560,20100811,20100811,0,0
52656,20100813,20100820,0,24
52784,20100825,20100825,0,20
52912,20100902,20100902,0,11
53008,20100922,20100923,0,9
53264,20101027,20101028,0,30
53296,20101027,20101028,0,31
53328,20101101,20101101,0,8
53376,20101105,20101111,0,25
53408,20101105,20101105,0,2
53552,20101117,20101118,0,0
53568,20101117,20101119,0,0
53696,20101119,20101123,0,32
53728,20101119,20101123,0,33
53744,20101119,20101123,0,33
53792,20101119,20101123,0,33
53824,20101119,20101123,0,34
